decision_id,slot_id,action,tile_id,program,request_id,reason
D000001,N20260907-S001,observe,T00053,DARK,,reference feasible random policy
D000002,N20260907-S001,observe,T00057,BRIGHT,,reference feasible random policy
D000003,N20260907-S002,observe,T00056,DARK,,reference feasible random policy
D000004,N20260907-S003,observe,T00059,BRIGHT,,reference feasible random policy
D000005,N20260907-S004,observe,T00064,DARK,,reference feasible random policy
D000006,N20260907-S005,observe,T00048,BRIGHT,,reference feasible random policy
D000007,N20260907-S006,observe,T00049,DARK,,reference feasible random policy
D000008,N20260907-S007,observe,T00063,BRIGHT,,reference feasible random policy
D000009,N20260907-S008,observe,T00045,BRIGHT,,reference feasible random policy
D000010,N20260907-S009,observe,T00005,BRIGHT,,reference feasible random policy
D000011,N20260907-S010,observe,T00052,DARK,,reference feasible random policy
D000012,N20260907-S011,observe,T00047,BRIGHT,,reference feasible random policy
D000013,N20260907-S012,observe,T00004,BRIGHT,,reference feasible random policy
D000014,N20260907-S013,observe,T00003,DARK,,reference feasible random policy
D000015,N20260907-S014,observe,T00055,DARK,,reference feasible random policy
D000016,N20260907-S016,observe,T00062,DARK,RQ0001,reference feasible random policy
D000017,N20260907-S017,observe,T00002,BRIGHT,,reference feasible random policy
D000018,N20260907-S017,observe,T00058,DARK,,reference feasible random policy
D000019,N20260907-S018,observe,T00061,DARK,,reference feasible random policy
D000020,N20260907-S020,observe,T00008,DARK,,reference feasible random policy
D000021,N20260907-S021,observe,T00050,DARK,,reference feasible random policy
D000022,N20260907-S022,observe,T00006,DARK,,reference feasible random policy
D000023,N20260907-S024,observe,T00015,BRIGHT,,reference feasible random policy
D000024,N20260907-S025,observe,T00007,DARK,,reference feasible random policy
D000025,N20260907-S026,observe,T00010,DARK,,reference feasible random policy
D000026,N20260907-S027,observe,T00011,DARK,,reference feasible random policy
D000027,N20260907-S029,observe,T00014,BRIGHT,RQ0001,reference feasible random policy
D000028,N20260907-S030,observe,T00013,BRIGHT,RQ0001,reference feasible random policy
D000029,N20260907-S031,observe,T00060,DARK,,reference feasible random policy
D000030,N20260907-S031,observe,T00012,DARK,,reference feasible random policy
D000031,N20260907-S032,observe,T00020,BRIGHT,,reference feasible random policy
D000032,N20260907-S033,observe,T00021,BRIGHT,,reference feasible random policy
D000033,N20260907-S034,observe,T00016,BRIGHT,,reference feasible random policy
D000034,N20260907-S035,observe,T00019,BRIGHT,,reference feasible random policy
D000035,N20260907-S037,observe,T00023,BRIGHT,,reference feasible random policy
D000036,N20260907-S037,observe,T00024,BRIGHT,,reference feasible random policy
D000037,N20260908-S001,observe,T00051,DARK,,reference feasible random policy
D000038,N20260908-S002,observe,T00040,BRIGHT,,reference feasible random policy
D000039,N20260908-S003,observe,T00042,BRIGHT,,reference feasible random policy
D000040,N20260908-S004,observe,T00046,BRIGHT,,reference feasible random policy
D000041,N20260908-S004,observe,T00054,DARK,,reference feasible random policy
D000042,N20260908-S006,observe,T00043,BRIGHT,,reference feasible random policy
D000043,N20260908-S007,observe,T00059,DARK,,reference feasible random policy
D000044,N20260908-S007,observe,T00008,BRIGHT,,reference feasible random policy
D000045,N20260908-S009,observe,T00063,BRIGHT,,reference feasible random policy
D000046,N20260908-S010,observe,T00049,DARK,,reference feasible random policy
D000047,N20260908-S011,wait,,,,no open uncompleted candidate
D000048,N20260908-S012,observe,T00050,DARK,,reference feasible random policy
D000049,N20260908-S013,observe,T00048,BRIGHT,,reference feasible random policy
D000050,N20260908-S014,observe,T00057,DARK,,reference feasible random policy
D000051,N20260908-S014,observe,T00049,DARK,,reference feasible random policy
D000052,N20260908-S015,observe,T00002,BRIGHT,,reference feasible random policy
D000053,N20260908-S016,observe,T00004,DARK,,reference feasible random policy
D000054,N20260908-S017,observe,T00061,DARK,,reference feasible random policy
D000055,N20260908-S018,observe,T00005,DARK,,reference feasible random policy
D000056,N20260908-S019,observe,T00057,DARK,,reference feasible random policy
D000057,N20260908-S020,observe,T00005,DARK,,reference feasible random policy
D000058,N20260908-S021,observe,T00049,BRIGHT,,reference feasible random policy
D000059,N20260908-S023,observe,T00055,BRIGHT,,reference feasible random policy
D000060,N20260908-S024,observe,T00004,DARK,,reference feasible random policy
D000061,N20260908-S025,observe,T00002,DARK,,reference feasible random policy
D000062,N20260908-S025,observe,T00002,DARK,,reference feasible random policy
D000063,N20260908-S026,observe,T00008,DARK,,reference feasible random policy
D000064,N20260908-S027,observe,T00008,DARK,,reference feasible random policy
D000065,N20260908-S029,observe,T00003,DARK,,reference feasible random policy
D000066,N20260908-S030,observe,T00057,BRIGHT,,reference feasible random policy
D000067,N20260908-S031,observe,T00015,BRIGHT,,reference feasible random policy
D000068,N20260908-S032,observe,T00064,BRIGHT,,reference feasible random policy
D000069,N20260908-S033,observe,T00015,DARK,,reference feasible random policy
D000070,N20260908-S035,observe,T00016,DARK,,reference feasible random policy
D000071,N20260908-S036,observe,T00024,BRIGHT,,reference feasible random policy
D000072,N20260908-S037,observe,T00024,BRIGHT,,reference feasible random policy
D000073,N20260909-S001,observe,T00037,BRIGHT,,reference feasible random policy
D000074,N20260909-S001,observe,T00044,BRIGHT,,reference feasible random policy
D000075,N20260909-S002,observe,T00050,DARK,,reference feasible random policy
D000076,N20260909-S003,observe,T00053,DARK,,reference feasible random policy
D000077,N20260909-S004,observe,T00045,DARK,,reference feasible random policy
D000078,N20260909-S004,observe,T00052,DARK,,reference feasible random policy
D000079,N20260909-S006,observe,T00053,DARK,,reference feasible random policy
D000080,N20260909-S006,observe,T00003,BRIGHT,,reference feasible random policy
D000081,N20260909-S008,observe,T00054,DARK,,reference feasible random policy
D000082,N20260909-S009,observe,T00008,BRIGHT,,reference feasible random policy
D000083,N20260909-S011,observe,T00045,BRIGHT,,reference feasible random policy
D000084,N20260909-S011,observe,T00047,BRIGHT,,reference feasible random policy
D000085,N20260909-S012,observe,T00062,DARK,RQ0001,reference feasible random policy
D000086,N20260909-S013,observe,T00005,DARK,,reference feasible random policy
D000087,N20260909-S014,observe,T00002,DARK,,reference feasible random policy
D000088,N20260909-S015,observe,T00003,DARK,,reference feasible random policy
D000089,N20260909-S016,observe,T00056,BRIGHT,,reference feasible random policy
D000090,N20260909-S017,observe,T00058,DARK,,reference feasible random policy
D000091,N20260909-S018,observe,T00007,DARK,,reference feasible random policy
D000092,N20260909-S018,observe,T00064,DARK,,reference feasible random policy
D000093,N20260909-S019,observe,T00061,DARK,,reference feasible random policy
D000094,N20260909-S021,observe,T00008,DARK,,reference feasible random policy
D000095,N20260909-S022,observe,T00059,DARK,,reference feasible random policy
D000096,N20260909-S023,observe,T00060,DARK,,reference feasible random policy
D000097,N20260909-S024,observe,T00008,DARK,,reference feasible random policy
D000098,N20260909-S025,observe,T00006,DARK,,reference feasible random policy
D000099,N20260909-S026,observe,T00057,DARK,,reference feasible random policy
D000100,N20260909-S027,observe,T00064,DARK,,reference feasible random policy
