tile_id,ra_deg,dec_deg,program,region,priority,nominal_exptime_seconds,n_lrg,n_elg,n_qso,n_bgs
200000,162.856639,34.184067,DARK,3,8.2055,1350,1449,1953,351,0
200001,68.364731,51.273022,BRIGHT,1,3.2153,900,121,161,39,2462
200002,51.046247,32.708546,BACKUP,1,2.4676,1200,0,0,2,1209
200003,235.412112,38.089389,DARK,5,7.2769,450,811,2276,127,0
200004,21.438398,8.314578,BRIGHT,0,4.1306,1350,61,153,1,3600
200005,303.273766,31.338688,BACKUP,6,1.4596,450,0,0,18,1111
200006,164.638757,14.471403,DARK,3,6.5201,600,1214,1170,482,0
200007,184.638471,-2.917366,BRIGHT,4,3.4651,1200,144,27,25,2141
200008,24.057543,-3.817667,BACKUP,0,1.3723,450,0,0,0,818
200009,169.195419,63.625126,DARK,3,6.7937,600,1056,1859,157,0
200010,280.263909,13.884291,BRIGHT,6,3.1374,450,22,79,21,1762
200011,48.454729,44.491122,BACKUP,1,1.5003,1200,0,0,0,661
200012,63.964126,34.150660,DARK,1,7.8193,600,1108,2042,217,0
200013,150.922978,21.862625,BRIGHT,3,2.5618,1350,101,107,13,1701
200014,109.492254,56.940558,BACKUP,2,1.5748,1350,0,0,13,791
200015,231.060836,2.023293,DARK,5,5.8400,1350,799,1436,346,0
200016,118.423953,15.742733,BRIGHT,2,3.2334,600,18,19,5,2554
200017,5.583266,20.807264,BACKUP,0,2.1392,1200,0,0,29,730
200018,299.649322,4.501657,DARK,6,6.3578,600,1045,1374,441,0
200019,294.408702,12.464900,BRIGHT,6,4.2129,1200,48,40,47,3968
200020,317.588312,37.247395,BACKUP,7,1.2083,450,0,0,26,648
200021,184.448098,12.862506,DARK,4,8.6644,1350,1407,2442,320,0
200022,176.759823,31.405195,BRIGHT,3,3.4999,1350,184,17,8,2635
200023,221.149086,14.615357,BACKUP,4,1.6628,900,0,0,13,1366
200024,148.113562,12.434482,DARK,3,5.3792,1350,697,1360,264,0
200025,350.303439,1.453449,BRIGHT,7,4.5267,600,35,115,21,3837
200026,212.355227,59.651116,BACKUP,4,2.0752,450,0,0,30,966
200027,7.653304,39.532917,DARK,0,6.4267,600,1143,1137,494,0
200028,359.768745,0.268403,BRIGHT,7,3.4878,600,139,94,47,1882
200029,285.576003,59.050181,BACKUP,6,1.8081,450,0,0,22,686
200030,313.596453,24.200720,DARK,6,6.7563,1350,1459,1061,375,0
200031,238.415491,21.542349,BRIGHT,5,2.5300,450,3,155,4,2028
200032,357.595988,56.585428,BACKUP,7,2.3061,1350,0,0,21,997
200033,164.792085,27.383556,DARK,3,6.7033,450,1204,1171,385,0
200034,111.684597,1.141257,BRIGHT,2,2.9965,1350,5,58,44,2162
200035,237.647372,29.040811,BACKUP,5,1.5916,1350,0,0,0,976
200036,72.926789,6.872501,DARK,1,8.0889,600,1000,2351,346,0
200037,117.705823,41.612934,BRIGHT,2,3.8857,1200,50,162,27,2520
200038,79.047880,59.456238,BACKUP,1,1.2729,900,0,0,13,739
200039,301.354422,54.410421,DARK,6,6.6367,450,1378,1131,261,0
200040,162.233802,14.261398,BRIGHT,3,4.4550,900,54,105,24,3829
200041,257.859571,53.933143,BACKUP,5,1.4120,450,0,0,28,928
200042,100.124537,37.528818,DARK,2,8.7064,900,1344,2451,263,0
200043,233.743092,34.482728,BRIGHT,5,4.0080,900,164,34,25,3562
200044,85.467243,4.861217,BACKUP,1,1.6321,450,0,0,3,1244
200045,226.787125,40.853013,DARK,5,7.4868,600,1476,1755,159,0
200046,296.581610,12.922955,BRIGHT,6,4.4565,450,182,2,48,3634
200047,64.475571,14.064846,BACKUP,1,2.1978,1350,0,0,22,1152
200048,180.149768,64.776614,DARK,4,7.5813,450,813,1805,478,0
200049,147.773599,57.485431,BRIGHT,3,3.9013,450,99,33,28,3557
200050,135.648997,34.816983,BACKUP,3,2.5635,900,0,0,32,1415
200051,166.934784,40.592580,DARK,3,6.5723,450,859,1202,489,0
200052,76.786768,57.998862,BRIGHT,1,3.4874,450,22,79,34,3012
200053,125.462535,0.794081,BACKUP,2,1.9055,900,0,0,28,950
200054,175.481097,-3.011275,DARK,3,7.0334,600,1478,1131,339,0
200055,191.923909,43.060842,BRIGHT,4,4.7973,1350,35,120,9,3815
200056,302.391519,43.256008,BACKUP,6,2.5095,450,0,0,31,1192
200057,272.822103,25.759547,DARK,6,7.6389,600,1222,1594,493,0
200058,188.201781,54.053638,BRIGHT,4,4.5287,1350,143,65,19,3261
200059,74.966246,54.553986,BACKUP,1,1.7972,1200,0,0,34,1136
200060,72.348201,32.513257,DARK,1,6.1048,1350,1165,1010,429,0
200061,348.985750,31.121244,BRIGHT,7,4.4558,450,102,139,51,4005
200062,248.755234,-0.386984,BACKUP,5,1.8837,1200,0,0,34,1069
200063,96.916964,28.121305,DARK,2,6.9024,1200,780,1695,342,0
200064,188.993442,2.602955,BRIGHT,4,3.3492,450,107,158,1,2765
200065,12.824948,5.887034,BACKUP,0,1.8395,900,0,0,0,1303
200066,88.007997,29.917589,DARK,1,8.4845,1350,1161,2496,418,0
200067,224.469339,45.238736,BRIGHT,4,4.0859,1200,179,135,56,3489
200068,297.064711,38.105607,BACKUP,6,2.1232,1350,0,0,34,809
200069,229.848179,32.073331,DARK,5,8.8646,600,1205,2252,420,0
200070,329.336463,38.951880,BRIGHT,7,4.4951,600,88,46,20,4170
200071,78.531952,64.884768,BACKUP,1,2.0043,600,0,0,6,737
