slot_id,night_id,timestamp_utc,duration_seconds,seeing_arcsec,transparency,sky_brightness,is_observable
N01-S001,N01,2026-10-02T02:00:00Z,900,1.0732,0.8748,0.9187,true
N01-S002,N01,2026-10-02T02:15:00Z,900,0.8383,0.9098,1.0513,true
N01-S003,N01,2026-10-02T02:30:00Z,900,0.9997,0.8583,1.0626,true
N01-S004,N01,2026-10-02T02:45:00Z,900,1.0176,0.9900,1.0199,true
N01-S005,N01,2026-10-02T03:00:00Z,900,1.0421,0.8336,0.9360,true
N01-S006,N01,2026-10-02T03:15:00Z,900,0.9121,0.9042,2.6687,true
N01-S007,N01,2026-10-02T03:30:00Z,900,1.4036,0.8787,2.8440,false
N01-S008,N01,2026-10-02T03:45:00Z,900,0.8631,0.8333,2.6951,true
N01-S009,N01,2026-10-02T04:00:00Z,900,1.2288,0.9695,2.4783,true
N01-S010,N01,2026-10-02T04:15:00Z,900,1.2072,0.8368,5.3638,true
N01-S011,N01,2026-10-02T04:30:00Z,900,1.1824,0.8501,5.2858,true
N01-S012,N01,2026-10-02T04:45:00Z,900,1.2384,0.9046,5.0570,true
N02-S001,N02,2026-10-03T02:00:00Z,900,1.1737,0.9485,1.2567,true
N02-S002,N02,2026-10-03T02:15:00Z,900,1.0469,0.8650,0.9129,true
N02-S003,N02,2026-10-03T02:30:00Z,900,1.1599,0.8933,0.9057,true
N02-S004,N02,2026-10-03T02:45:00Z,900,1.1728,0.9513,0.9593,true
N02-S005,N02,2026-10-03T03:00:00Z,900,1.2253,0.9900,0.8486,true
N02-S006,N02,2026-10-03T03:15:00Z,900,1.0428,0.8692,2.5305,true
N02-S007,N02,2026-10-03T03:30:00Z,900,1.0688,0.9003,2.6729,true
N02-S008,N02,2026-10-03T03:45:00Z,900,0.9730,0.8838,2.6007,true
N02-S009,N02,2026-10-03T04:00:00Z,900,1.0107,0.9348,2.8124,true
N02-S010,N02,2026-10-03T04:15:00Z,900,1.4542,0.9900,5.3161,true
N02-S011,N02,2026-10-03T04:30:00Z,900,1.0556,0.8365,5.0070,true
N02-S012,N02,2026-10-03T04:45:00Z,900,1.1130,0.8815,5.4250,true
